0.0001,100,1,5
1 = Jupiter,2 = Callisto,3 = Io,4 = Europa,5 = Ganymede
time,energy,ang_mom,r1x,r1y,r1z,v1x,v1y,v1z,r2x,r2y,r2z,v2x,v2y,v2z,r3x,r3y,r3z,v3x,v3y,v3z,r4x,r4y,r4z,v4x,v4y,v4z,r5x,r5y,r5z,v5x,v5y,v5z
0,-40378.6740715878,211.2303905570489,0,0,0,0,0,0,-0.944191,0.08334900000000001,-0.0100524,-10.2756,-114.634,-3.72466,-0.169116,-0.124343,-0.00681363,145.907,-198.065,-4.88673,-0.266673,-0.208467,-0.0127803,118.511,-151.543,-2.38954,0.333627,-0.417099,-0.0111661,120.271,96.1369,5.37549
0.0001,-40378.67082135346,211.2303905570489,-5.849941921409471e-08,-6.170807642853816e-08,-3.120123762940155e-09,-0.001110468400731813,-0.001298470583018871,-6.375159945143629e-05,-0.9451484171196094,0.07187940562905586,-0.01042411931522312,-8.872076361870125,-114.7493634391358,-3.709450650504727,-0.153370357560655,-0.1433003458892144,-0.007255772677508095,167.9296587487103,-179.7879091991815,-3.925962669245585,-0.2543876473410154,-0.2232818252979107,-0.0129984408625236,126.9960917482193,-144.5124157614628,-1.96973043961712,0.3455156516408802,-0.4073122324501748,-0.0106239176793122,117.4526481420145,99.55789329511119,5.465907905146576
0.0002,-40378.65333058958,211.2303905570489,-2.220936801463627e-07,-2.596941166037743e-07,-1.275031989028726e-08,-0.002094780302642352,-0.002718684501521762,-0.0001298545737163263,-0.9459654152723741,0.06039912731217285,-0.01079429013010095,-7.467322730273334,-114.847672109732,-3.693691148620231,-0.1355300682502579,-0.1603005818398363,-0.007598822533849118,187.6539479218263,-159.0603454272356,-2.91181974847732,-0.2412737816503561,-0.2373694831522926,-0.01317424608792342,135.0680625107948,-137.0111929487471,-1.543500862759907,0.3571175296284029,-0.3971874213409777,-0.01007291841897068,114.5367210760518,102.8963559564555,5.551791792431711
0.0003,-40378.62200707922,211.2303905570489,-4.77455479742565e-07,-6.054449767328907e-07,-2.909103850620542e-08,-0.002939575747643833,-0.004246090931913903,-0.0001975996396098102,-0.9466418816656641,0.04890987120710945,-0.01116285754494717,-6.061543265616599,-114.9289136201718,-3.677383844336399,-0.1158395679762898,-0.1751124149746615,-0.007838136627203557,204.8060319605955,-136.1741170091126,-1.858522637141454,-0.2273740348388564,-0.2506840638876601,-0.01330714103507558,142.7011523588536,-129.0630929009159,-1.112206365106806,0.3684229958560906,-0.3867329612588837,-0.009513559320825855,111.5256479587705,106.1494929366845,5.633069592355077
0.0004,-40378.57753525781,211.2303905570489,-8.100088296751292e-07,-1.108912302986555e-06,-5.22702478122493e-08,-0.003633333775141368,-0.005864656589051693,-0.0002662520138749922,-0.9471777239254974,0.03741334458813848,-0.01152976689896823,-4.654942180707605,-114.9930780293893,-3.660531165427904,-0.09456886185813883,-0.1875354052416588,-0.007970527061277408,219.1503129496033,-111.4519385230475,-0.7808335067682133,-0.2127335511785854,-0.2631821017324757,-0.01339668736094479,149.8709162377327,-120.6932020568674,-0.6772159301764589,0.3794226592201571,-0.3759575227536408,-0.008946304500499668,108.4219386150596,109.3145812371471,5.709673130219347
0.0005,-40378.52079427827,211.2303905570489,-1.204122234770839e-06,-1.778376294543229e-06,-8.234144128120386e-08,-0.00416653959394297,-0.007557116918184756,-0.0003350626807963342,-0.9475728701018055,0.02591125560123158,-0.01189496377803275,-3.247723739201624,-115.0401578403929,-3.643135617184312,-0.07200950538636913,-0.197402802679271,-0.0079943033285572,230.4929441253793,-85.24212837710499,0.3061821688889486,-0.1973998515913099,-0.2748227042990335,-0.01344258422111087,156.5543029506515,-111.9278736996391,-0.2399089654297399,0.3901073835791025,-0.3648700450114543,-0.008371624694781985,105.2281813593797,112.3889723171811,5.781538186957565
0.0006000000000000001,-40378.45280797156,211.2303905570489,-1.643316748463723e-06,-2.620335686623506e-06,-1.192827839715161e-07,-0.004531813684729391,-0.009305246088733492,-0.0004032797754402867,-0.9478272686733376,0.01440531302005989,-0.01225839402240509,-1.840092249686291,-115.070147991266,-3.625199781988856,-0.04847027303306298,-0.2045838309170798,-0.007909290627499618,238.6845404455413,-57.91290595777406,1.387395762972814,-0.1814226905884551,-0.2855676764724035,-0.01344466915403073,162.7297231263792,-102.7946711893912,0.1983277578192055,0.400468295492033,-0.3534797282902046,-0.007789996863108155,101.9470407524593,115.3700944436705,5.848604556701004
0.0007,-40378.37472641562,211.2303905570489,-2.110484971716717e-06,-3.639425512289927e-06,-1.629973963692612e-07,-0.004724000940646203,-0.0110901392608644,-0.0004701598250230922,-0.9479408885517426,0.002897226002978387,-0.01262000373443052,-0.4322520552291496,-115.0830458451188,-3.606726318798092,-0.02427259729726086,-0.2089853838708259,-0.007716824175962637,243.6220449817546,-29.84642992790664,2.447852654752262,-0.1648539069660341,-0.2953816385369118,-0.01340291866954703,168.3771080488274,-93.32230739745516,0.6361031279382083,0.4104967917295944,-0.3417960261227202,-0.007201903783441784,98.58125530164587,118.2554549796869,5.910816101134081
0.0008,-40378.28781796251,211.2303905570489,-2.588116936592964e-06,-4.838363538796384e-06,-2.133147489761346e-07,-0.004740219215892671,-0.01289250052870679,-0.0005349786066616738,-0.9479137190843834,-0.008611296148963865,-0.01297973928616471,0.9755924812678034,-115.0788511800139,-3.587717962565108,0.0002541359632879553,-0.2105531169026612,-0.007419720096549166,245.2497356936456,-1.432719207641007,3.473001135360755,-0.1477472689786896,-0.3042321379518946,-0.01331744852844309,173.4779631353628,-83.54057778757851,1.072024915554,0.4201845465523621,-0.3298286372942672,-0.006607833642881339,95.13363511600451,121.0426426101937,5.968120800683902
0.0009000000000000001,-40378.19345670247,211.2303905570489,-3.058528814895251e-06,-6.217925618031284e-06,-2.699931177015959e-07,-0.004579867854780658,-0.01469293013311119,-0.0005970414037304256,-0.9477457700554891,-0.0201185442330244,-0.01333754732694355,2.383236995307263,-115.0575661794747,-3.568177523637313,0.02477734984146827,-0.2092719277123541,-0.007022223948890486,243.5593831718544,26.93640720527415,4.448908400952365,-0.1301583143389615,-0.3120897540944276,-0.01318851368643623,178.0154189549187,-73.48028711570355,1.504703253648197,0.4295235187527952,-0.3175874976006815,-0.006008279623305004,91.60705953049759,123.729329500775,6.020470802557194
